CODE,DURATION,Z1,Z2,Z3,Z4,Z5,DESCRIPTION
CF3,30.0,10,20,,,,5 min in Z1 20 min Z2 5 min Z1
CF4,35.0,10,25,,,,5 min in Z1 25 min Z2 5 min Z1
CF5,40.0,10,30,,,,5 min in Z1 30 min Z2 5 min Z1
CF6,45.0,10,35,,,,5 min in Z1 35 min Z2 5 min Z1
CF7,50.0,10,40,,,,5 min in Z1 40 min Z2 5 min Z1
CF8,55.0,10,45,,,,5 min in Z1 45 min Z2 5 min Z1
CF9,60.0,10,50,,,,5 min in Z1 50 min Z2 5 min Z1
CFF1,25.0,5,15,5,,,5 min Z1 15 min Z2 5 min Z3
CFF10,65.0,5,45,15,,,5 min Z1 45 min Z2 15 min Z3
CFF11,75.0,5,55,15,,,5 min Z1 55 min Z2 15 min Z3
CFF12,90.0,5,70,15,,,5 min Z1 70 min Z2 15 min Z3
CFF13,105.0,5,85,15,,,5 min Z1 85 min Z2 15 min Z3
CFF14,120.0,5,100,15,,,5 min Z1 100 min Z2 15 min Z3
CFF15,135.0,5,115,15,,,5 min Z1 115 min Z2 15 min Z3
CFF16,150.0,5,130,15,,,5 min Z1 130 min Z2 15 min Z3
CFF17,165.0,5,145,15,,,5 min Z1 145 min Z2 15 min Z3
CFF18,180.0,5,160,15,,,5 min Z1 160 min Z2 15 min Z3
CFF19,195.0,5,175,15,,,5 min Z1 175 min Z2 15 min Z3
CFF2,30.0,5,20,5,,,5 min Z1 20 min Z2 5 min Z3
CFF20,210.0,5,190,15,,,5 min Z1 190 min Z2 15 min Z3
CFF21,225.0,5,205,15,,,5 min Z1 205 min Z2 15 min Z3
CFF22,240.0,5,220,15,,,5 min Z1 220 min Z2 15 min Z3
CFF23,270.0,5,250,15,,,5 min Z1 250 min Z2 15 min Z3
CFF24,300.0,5,280,15,,,5 min Z1 280 min Z2 15 min Z3
CFF25,330.0,5,310,15,,,5 min Z1 310 min Z2 15 min Z3
CFF26,360.0,5,340,15,,,5 min Z1 340 min Z2 15 min Z3
CFF27,60.0,5,45,10,,,5 min Z1 45 min Z2 10 min Z3
CFF3,30.0,5,15,10,,,5 min Z1 15 min Z2 10 min Z3
CFF4,40.0,5,25,10,,,5 min Z1 25 min Z2 10 min Z3
CFF5,42.0,5,25,12,,,5 min Z1 25 min Z2 12 min Z3
CFF6,47.0,5,30,12,,,5 min Z1 30 min Z2 12 min Z3
CFF7,52.0,5,35,12,,,5 min Z1 35 min Z2 12 min Z3
CFF8,55.0,5,35,15,,,5 min Z1 35 min Z2 15 min Z3
CFF9,60.0,5,40,15,,,5 min Z1 40 min Z2 15 min Z3
CFo10,51.0,10,5,,,36,5 min Z1;5 min Z2;12 × (1 min Z5/2 min Z1);5 min Z1
CFo11,55.0,10,5,,,40,5 min Z1;5 min Z2;10 × (1.5 min Z5/2.5 min Z1);5 min Z1
CFo12,63.0,10,5,,,48,5 min Z1;5 min Z2;12 × (1.5 min Z5/2.5 min Z1);5 min Z1
CFo13,70.0,10,20,,,40,5 min Z1;10 min Z2;10 × (1.5 min Z5/2.5 min Z1);10 min Z2;5 min Z1
CFo14,135.0,20,85,,,30,15 min Z1;15 min Z2;10 × (1 min Z5/2 min Z1);70 min Z2;5 min Z1
CFo15,150.0,20,100,,,30,"15 min Z1, 15 min Z2, 10 × (1 min Z5/2 min Z1), 85 min Z2, 5 min Z1"
CFo16,180.0,20,130,,,30,"15 min Z1, 15 min Z2, 10 × (1 min Z5/2 min Z1), 115 min Z2, 5 min Z1"
CFo17,74.0,10,40,,,24,"5 min Z1, 5 min Z2, 12 × (30"" Z5/90"" Z1), 35 min Z2, 5 min Z1"
CFo18,78.0,50,10,,,18,"5 min Z1, 10 min Z2, 6 × (1 min Z5/2 min Z1), 40 min Z2, 5 min Z1"
CFo19,90.0,61,5,,,24,"5 min Z1, 15 min Z2, 8 × (1 min Z5/2 min Z1), 46 min Z2"
CFo20,165.0,15,120,,,30,"10 min Z1, 15 min Z2, 10 × (1 min Z5/2 min Z1), 105 min Z2, 5 min Z1"
CFo21,120.0,20,70,,,30,"15 min Z1, 15 min Z2, 10 × (1 min Z5/2 min Z1), 55 min Z2, 5 min Z1"
CFo22,60.0,38,10,,,12,"10 min Z1, 10 min Z2, 8 × (30"" Z5/60"" Z1), 28 min Z1"
CFo23,105.0,20,55,,,30,"15 min Z1, 15 min Z2, 10 × (1 min Z5/2 min Z1), 40 min Z2, 5 min Z1"
CFo24,90.0,35,40,,,15,"15 min Z1, 15 min Z2, 5 × (1 min Z5/2 min Z1), 25 min Z2, 20 min Z1"
CFo7,39.0,10,5,,,24,5 min Z1;5 min Z2;6 × (1.5 min Z5/2.5 min Z1);5 min Z1
CFo8,45.0,10,5,,,30,5 min Z1;5 min Z2;10 × (1 min Z5/2 min Z1);5 min Z1
CFo9,47.0,10,5,,,32,5 min Z1;5 min Z2;8 × (1.5 min Z5/2.5 min Z1);5 min Z1
CMI1,120.0,50,,40,30,,"20 min Z1, 2 × (20 min Z3/15 min Z1), 10 × (1 min Z4/2 min Z1)"
CMI2,150.0,80,,40,30,,"20 min Z1, 2 × (20 min Z3/15 min Z1), 10 × (1 min Z4/2 min Z1), 30 min Z1"
CMI3,165.0,95,,40,30,,"20 min Z1, 2 × (20 min Z3/15 min Z1), 10 × (1 min Z4/2 min Z1), 45 min Z1"
CMI4,180.0,110,,40,30,,"20 min Z1, 2 × (20 min Z3/15 min Z1), 10 × (1 min Z4/2 min Z1), 60 min Z1"
CMI5,210.0,140,,40,30,,"20 min Z1, 2 × (20 min Z3/15 min Z1), 10 × (1 min Z4/2 min Z1), 90 min Z1"
CMI6,120.0,65,,40,15,,"20 min Z1, 2 × (20 min Z3/15 min Z1), 5 × (1 min Z4/2 min Z1), 15 min Z1"
CRe1,20.0,20,,,,,20 min Z1
CRe10,75.0,75,,,,,75 min Z1
CRe11,90.0,90,,,,,90 min Z1
CRe12,105.0,105,,,,,105 min Z1
CRe13,120.0,120,,,,,120 min Z1
CRe14,150.0,150,,,,,150 min Z1
CRe2,25.0,25,,,,,25 min Z1
CRe3,30.0,30,,,,,30 min Z1
CRe4,35.0,35,,,,,35 min Z1
CRe5,40.0,40,,,,,40 min Z1
CRe6,45.0,45,,,,,45 min Z1
CRe7,50.0,50,,,,,50 min Z1
CRe8,55.0,55,,,,,55 min Z1
CRe9,60.0,60,,,,,60 min Z1
CSP1,27.0,10,5,,12,,"5 min Z1, 5 min Z2, 3 × (2 min Z4/2 min Z1), 5 min Z1"
CSP10,60.0,10,22,,28,,"5 min Z1, 5 min Z2, 7 x (2 min Z4/2 min Z1), 17 min Z2, 5 min Z1"
CSP11,45.0,10,5,,30,,"5 min Z1, 5 min Z2, 10 x (1 min Z4/2 min Z1), 5 min Z1"
CSP12,60.0,10,18,,32,,"5 min Z1, 5 min Z2, 8 x (2 min Z4/2 min Z1), 13 min Z2, 5 min Z1"
CSP13,51.0,10,5,,36,,"5 min Z1, 5 min Z2, 9 x (2 min Z4/2 min Z1), 5 min Z1"
CSP14,61.0,10,15,,36,,"5 min Z1, 5 min Z2, 12 × (1 min Z4/2 min Z1), 10 min Z2, 5 min Z1"
CSP15,79.0,25,30,,24,,"10 min Z1, 15 min Z2, 6 × (2 min Z4/2 min Z1), 15 min Z2, 15 min Z1"
CSP16,87.0,25,30,,32,,"10 min Z1, 15 min Z2, 8 × (2 min Z4/2 min Z1), 15 min Z2, 15 min Z1"
CSP17,79.0,25,30,,24,,"10 min Z1, 15 min Z2, 8 × (1 min Z4/2 min Z1), 15 min Z2, 15 min Z1"
CSP18,90.0,36,30,,24,,"21 min Z1, 15 min Z2, 8 × (1 min Z4/2 min Z1), 15 min Z2, 15 min Z1"
CSP2,60.0,10,35,,15,,"5 min Z1, 5 min Z2, 5 × (1 min Z4/2 min Z1), 30 min Z2, 5 min Z1"
CSP3,31.0,10,5,,16,,"5 min Z1, 5 min Z2, 4 × (2 min Z4/2 min Z1), 5 min Z1"
CSP4,60.0,10,32,,18,,"5 min Z1, 5 min Z2, 6 × (1 min Z4/2 min Z1), 27 min Z2, 5 min Z1"
CSP5,35.0,10,5,,20,,"5 min Z1, 5 min Z2, 5 × (2 min Z4/2 min Z1), 5 min Z1"
CSP6,60.0,10,29,,21,,"5 min Z1, 5 min Z2, 7 × (1 min Z4/2 min Z1), 30 min Z2, 5 min Z1"
CSP7,39.0,10,5,,24,,"5 min Z1, 5 min Z2, 6 x (2 min Z4/2 min Z1), 5 min Z1"
CSP8,60.0,10,26,,24,,"5 min Z1, 5 min Z2, 8 x (1 min Z4/2 min Z1), 26 min Z2"
CSP9,42.0,10,5,,27,,"5 min Z1, 5 min Z2, 9 x (1 min Z4/2 min Z1), 5 min Z1"
CT1,60.0,15,40,5,,,15 min Z1 5 min Z3 40 min Z2
CT10,90.0,10,50,30,,,5 min Z1;10 min Z2;30 min Z3;40 min Z2;5 min Z1
CT11,105.0,10,75,20,,,5 min Z1;10 min Z2;20 min Z3;65 min Z2;5 min Z1
CT12,120.0,10,80,30,,,5 min Z1;10 min Z2;30 min Z3;70 min Z2;5 min Z1
CT13,135.0,10,105,20,,,5 min Z1 10 min Z2 20 min Z3 95 min Z2 5 min Z1
CT14,150.0,10,110,30,,,5 min Z1 10 min Z2 30 min Z3 100 min Z2 5 min Z1
CT15,165.0,10,135,20,,,5 min Z1 10 min Z2 20 min Z3 125 min Z2 5 min Z1
CT16,180.0,10,140,30,,,5 min Z1 10 min Z2 30 min Z3 130 min Z2 5 min Z1
CT17,195.0,10,165,20,,,5 min Z1 10 min Z2 20 min Z3 155 min Z2 5 min Z1
CT18,210.0,10,170,30,,,5 min Z1 10 min Z2 30 min Z3 160 min Z2 5 min Z1
CT19,225.0,10,195,20,,,5 min Z1 10 min Z2 20 min Z3 185 min Z2 5 min Z1
CT2,35.0,10,10,15,,,5 min Z1 5 min Z2 15 min Z3 5 min Z2 5 min Z1
CT20,240.0,10,200,30,,,5 min Z1 10 min Z2 30 min Z3 190 min Z2 5 min Z1
CT21,255.0,10,225,20,,,5 min Z1 10 min Z2 20 min Z3 215 min Z2 5 min Z1
CT22,270.0,10,230,30,,,5 min Z1 10 min Z2 30 min Z3 220 min Z2 5 min Z1
CT23,285.0,10,255,20,,,5 min Z1 10 min Z2 20 min Z3 245 min Z2 5 min Z1
CT24,300.0,10,260,30,,,5 min Z1 10 min Z2 30 min Z3 250 min Z2 5 min Z1
CT25,52.0,10,10,32,,,5 min Z1 5 min Z2 32 min Z3 5 min Z2 5 min Z1
CT26,56.0,10,10,36,,,5 min Z1 5 min Z2 36 min Z3 5 min Z2 5 min Z1
CT27,60.0,10,10,40,,,5 min Z1;5 min Z2;40 min Z3;5 min Z2;5 min Z1
CT28,65.0,10,10,45,,,5 min Z1;5 min Z2;45 min Z3;5 min Z2;5 min Z1
CT29,55.0,10,30,15,,,5 min Z1;15 min Z2;15 min Z3;15 min Z2;5 min Z1
CT3,38.0,10,10,18,,,5 min Z1 5 min Z2 18 min Z3 5 min Z2 5 min Z1
CT30,60.0,10,30,20,,,5 min Z1;15 min Z2;20 min Z3;15 min Z2;5 min Z1
CT31,60.0,10,26,24,,,5 min Z1;15 min Z2;24 min Z3;11 min Z2;5 min Z1
CT4,40.0,10,10,20,,,5 min Z1 5 min Z2 20 min Z3 5 min Z2 5 min Z1
CT5,44.0,10,10,24,,,5 min Z1 5 min Z2 24 min Z3 5 min Z2 5 min Z1
CT6,48.0,10,10,28,,,5 min Z1;5 min Z2;28 min Z3;5 min Z2;5 min Z1
CT7,50.0,10,10,30,,,5 min Z1;5 min Z2;30 min Z3;5 min Z2;5 min Z1
CT8,60.0,10,20,30,,,5 min Z1;10 min Z2;30 min Z3;10 min Z2;5 min Z1
CT9,75.0,10,45,20,,,5 min Z1;10 min Z2;20 min Z3;35 min Z2;5 min Z1
